0,0
5,0
5.00848,0.16202
5.17817,0.18017
5.36482,0.20091
5.56844,0.22683
5.75509,0.24757
5.89084,0.2709
6.07749,0.29682
6.24717,0.32534
6.41686,0.35386
6.56957,0.37978
6.77319,0.41866
7.01075,0.46792
6.89197,0.4394
7.16346,0.49644
7.29921,0.52754
7.41799,0.55347
7.53676,0.58717
7.72342,0.62865
7.85916,0.66753
7.97794,0.69605
8.09672,0.72975
8.2155,0.76863
8.35124,0.80493
8.48699,0.84381
8.60577,0.88529
8.72455,0.92158
8.84333,0.96047
8.97907,0.99935
9.09785,1.03824
9.21663,1.07712
9.31844,1.11082
9.42025,1.14712
9.52206,1.18082
9.62387,1.21711
9.75962,1.25859
9.86143,1.29229
9.96324,1.3234
10.06505,1.35969
10.18382,1.39857
10.28563,1.42968
10.42138,1.47116
10.52319,1.50227
10.69287,1.55412
10.87952,1.60855
10.9983,1.64226
11.16799,1.68373
11.33767,1.7278
11.52432,1.77187
11.74491,1.81335
11.89762,1.84705
12.08428,1.87557
12.2879,1.90149
12.49152,1.92223
12.67817,1.93778
12.91572,1.95593
13.22115,1.96371
13.44174,1.96889
13.7302,1.96889
14.01867,1.97148
14.30713,1.97926
14.54468,1.98704
14.86708,1.99482
15.00283,2
16.7336,2
18.22681,2
19.99152,2
20,0
30,0
