SiteID,710458,Site Timezone,-7,Data Timezone,-7,Longitude,-110.556045532,Latitude,47.5760955811
Year,Month,Day,Hour,Minute,wind direction at 100m (deg),wind speed at 100m (m/s)
2011,1,1,0,0,250.56,14.51
2011,1,1,0,5,250.4,14.59
2011,1,1,0,10,250.17000000000002,14.69
2011,1,1,0,15,249.91,14.71
2011,1,1,0,20,249.73000000000002,14.72
2011,1,1,0,25,249.61,14.72
2011,1,1,0,30,249.45000000000002,14.72
2011,1,1,0,35,249.35,14.74
2011,1,1,0,40,249.18,14.74
2011,1,1,0,45,249.06,14.75
2011,1,1,0,50,249.04,14.790000000000001
2011,1,1,0,55,249.1,14.81
2011,1,1,1,0,249.07,14.84
2011,1,1,1,5,249.05,14.83
2011,1,1,1,10,249.07,14.8
2011,1,1,1,15,249.1,14.790000000000001
2011,1,1,1,20,248.99,14.84
2011,1,1,1,25,249.07,14.93
2011,1,1,1,30,249.20000000000002,15
2011,1,1,1,35,249.29,15.08
2011,1,1,1,40,249.58,15.120000000000001
2011,1,1,1,45,249.81,15.200000000000001
2011,1,1,1,50,249.9,15.22
2011,1,1,1,55,249.85,15.22
2011,1,1,2,0,249.76000000000002,15.23
2011,1,1,2,5,249.85,15.25
2011,1,1,2,10,250.06,15.27
2011,1,1,2,15,250.22,15.370000000000001
2011,1,1,2,20,250.42000000000002,15.450000000000001
2011,1,1,2,25,250.45000000000002,15.55
2011,1,1,2,30,250.62,15.65
2011,1,1,2,35,250.81,15.73
2011,1,1,2,40,250.91,15.780000000000001
2011,1,1,2,45,250.92000000000002,15.83
2011,1,1,2,50,250.92000000000002,15.88
2011,1,1,2,55,250.93,15.97
2011,1,1,3,0,250.87,16.03
2011,1,1,3,5,250.85,16.07
2011,1,1,3,10,250.89000000000001,16.12
2011,1,1,3,15,250.96,16.15
2011,1,1,3,20,251.03,16.14
2011,1,1,3,25,251.08,16.12
2011,1,1,3,30,251.26000000000002,16.15
2011,1,1,3,35,251.43,16.240000000000002
2011,1,1,3,40,251.66,16.330000000000002
2011,1,1,3,45,252.01000000000002,16.39
2011,1,1,3,50,252.35,16.37
2011,1,1,3,55,252.69,16.37
2011,1,1,4,0,253.17000000000002,16.35
2011,1,1,4,5,253.62,16.36
2011,1,1,4,10,253.94,16.39
2011,1,1,4,15,254.19,16.4
2011,1,1,4,20,254.43,16.36
2011,1,1,4,25,254.6,16.32
2011,1,1,4,30,254.75,16.29
2011,1,1,4,35,254.88,16.29
2011,1,1,4,40,255.02,16.25
2011,1,1,4,45,255.18,16.22
2011,1,1,4,50,255.35,16.21
2011,1,1,4,55,255.57,16.17
2011,1,1,5,0,255.76000000000002,16.15
2011,1,1,5,5,255.96,16.13
2011,1,1,5,10,256.06,16.12
2011,1,1,5,15,256.03000000000003,16.080000000000002
2011,1,1,5,20,256.01,16.03
2011,1,1,5,25,256.06,15.99
2011,1,1,5,30,256.25,15.96
2011,1,1,5,35,256.38,15.93
2011,1,1,5,40,256.37,15.91
2011,1,1,5,45,256.36,15.89
2011,1,1,5,50,256.36,15.85
2011,1,1,5,55,256.33,15.8
2011,1,1,6,0,256.3,15.75
2011,1,1,6,5,256.42,15.74
2011,1,1,6,10,256.59000000000003,15.69
2011,1,1,6,15,256.64,15.65
2011,1,1,6,20,256.96,15.57
2011,1,1,6,25,257.15,15.530000000000001
2011,1,1,6,30,257.27,15.5
2011,1,1,6,35,257.79,15.43
2011,1,1,6,40,257.97,15.41
2011,1,1,6,45,257.59000000000003,15.46
2011,1,1,6,50,257.32,15.46
2011,1,1,6,55,257.05,15.52
2011,1,1,7,0,256.85,15.6
2011,1,1,7,5,256.66,15.66
2011,1,1,7,10,256.33,15.74
2011,1,1,7,15,256.17,15.9
2011,1,1,7,20,255.91,16.03
2011,1,1,7,25,255.59,16.12
2011,1,1,7,30,255.31,16.17
2011,1,1,7,35,255.11,16.21
2011,1,1,7,40,254.95000000000002,16.240000000000002
2011,1,1,7,45,254.72,16.26
2011,1,1,7,50,254.39000000000001,16.31
2011,1,1,7,55,254.01000000000002,16.32
2011,1,1,8,0,253.56,16.330000000000002
2011,1,1,8,5,252.98000000000002,16.330000000000002
2011,1,1,8,10,252.5,16.38
2011,1,1,8,15,252.12,16.48
2011,1,1,8,20,251.66,16.55
2011,1,1,8,25,251.22,16.62
2011,1,1,8,30,250.98000000000002,16.72
2011,1,1,8,35,250.81,16.82
2011,1,1,8,40,250.58,16.88
2011,1,1,8,45,250.29,16.91
2011,1,1,8,50,250.12,16.9
2011,1,1,8,55,249.86,16.89
2011,1,1,9,0,249.57,16.93
2011,1,1,9,5,249.52,16.94
2011,1,1,9,10,249.36,16.97
2011,1,1,9,15,249.03,16.97
2011,1,1,9,20,249.05,16.94
2011,1,1,9,25,249.02,16.91
2011,1,1,9,30,248.79,16.9
2011,1,1,9,35,248.51000000000002,16.9
