SiteID,304725,Site Timezone,-8,Data Timezone,-8,Longitude,-121.696853638,Latitude,45.4892730713
Year,Month,Day,Hour,Minute,wind direction at 100m (deg),wind speed at 100m (m/s)
2011,1,1,0,0,85.25,6.640000000000001
2011,1,1,0,5,85.32000000000001,6.63
2011,1,1,0,10,85.27,6.62
2011,1,1,0,15,85.22,6.61
2011,1,1,0,20,85.01,6.6000000000000005
2011,1,1,0,25,84.68,6.62
2011,1,1,0,30,84.49,6.61
2011,1,1,0,35,84.16,6.59
2011,1,1,0,40,83.95,6.55
2011,1,1,0,45,83.76,6.48
2011,1,1,0,50,83.41,6.43
2011,1,1,0,55,82.92,6.41
2011,1,1,1,0,82.57000000000001,6.390000000000001
2011,1,1,1,5,82.31,6.41
2011,1,1,1,10,82,6.44
2011,1,1,1,15,81.72,6.45
2011,1,1,1,20,82.02,6.43
2011,1,1,1,25,82.18,6.41
2011,1,1,1,30,82.3,6.4
2011,1,1,1,35,82.26,6.4
2011,1,1,1,40,82.09,6.41
2011,1,1,1,45,82,6.44
2011,1,1,1,50,82.02,6.45
2011,1,1,1,55,82.02,6.47
2011,1,1,2,0,81.97,6.49
2011,1,1,2,5,81.9,6.53
2011,1,1,2,10,82,6.55
2011,1,1,2,15,82.38,6.54
2011,1,1,2,20,82.51,6.5600000000000005
2011,1,1,2,25,82.45,6.58
2011,1,1,2,30,82.36,6.58
2011,1,1,2,35,82.36,6.57
2011,1,1,2,40,82.56,6.5600000000000005
2011,1,1,2,45,82.61,6.57
2011,1,1,2,50,82.28,6.58
2011,1,1,2,55,82.26,6.58
2011,1,1,3,0,82.24,6.59
2011,1,1,3,5,82.22,6.6000000000000005
2011,1,1,3,10,81.89,6.61
2011,1,1,3,15,81.74,6.61
2011,1,1,3,20,81.64,6.640000000000001
2011,1,1,3,25,81.60000000000001,6.69
2011,1,1,3,30,81.66,6.71
2011,1,1,3,35,81.86,6.7
2011,1,1,3,40,81.92,6.7
2011,1,1,3,45,81.88,6.72
2011,1,1,3,50,81.96000000000001,6.76
2011,1,1,3,55,81.99,6.79
2011,1,1,4,0,82.02,6.79
2011,1,1,4,5,82.05,6.79
2011,1,1,4,10,81.67,6.82
2011,1,1,4,15,81.38,6.86
2011,1,1,4,20,81.62,6.890000000000001
2011,1,1,4,25,81.65,6.92
2011,1,1,4,30,81.96000000000001,6.95
2011,1,1,4,35,81.85000000000001,6.97
2011,1,1,4,40,81.93,7.01
2011,1,1,4,45,82.02,7.03
2011,1,1,4,50,82.14,7.04
2011,1,1,4,55,82.33,7.04
2011,1,1,5,0,82.19,7.04
2011,1,1,5,5,82.16,7.03
2011,1,1,5,10,82.22,7.0200000000000005
2011,1,1,5,15,82.21000000000001,7.01
2011,1,1,5,20,82.17,7.04
2011,1,1,5,25,82.32000000000001,7.08
2011,1,1,5,30,82.38,7.09
2011,1,1,5,35,82.69,7.11
2011,1,1,5,40,82.92,7.09
2011,1,1,5,45,82.98,7.0600000000000005
2011,1,1,5,50,83.14,7.05
2011,1,1,5,55,83.15,7.04
2011,1,1,6,0,83.2,7.0200000000000005
2011,1,1,6,5,83.46000000000001,7.03
2011,1,1,6,10,83.5,7.04
2011,1,1,6,15,83.46000000000001,7.07
2011,1,1,6,20,83.63,7.09
2011,1,1,6,25,83.69,7.09
2011,1,1,6,30,83.99,7.1000000000000005
2011,1,1,6,35,84.44,7.11
2011,1,1,6,40,84.79,7.13
2011,1,1,6,45,84.75,7.140000000000001
2011,1,1,6,50,84.86,7.140000000000001
2011,1,1,6,55,85.05,7.15
2011,1,1,7,0,85.52,7.16
2011,1,1,7,5,86.15,7.16
2011,1,1,7,10,86.93,7.16
2011,1,1,7,15,87.56,7.140000000000001
2011,1,1,7,20,87.83,7.05
2011,1,1,7,25,88.06,6.99
2011,1,1,7,30,88.02,7
2011,1,1,7,35,88.21000000000001,7.05
2011,1,1,7,40,88.59,7.08
2011,1,1,7,45,88.88,7.1000000000000005
2011,1,1,7,50,89.28,7.08
2011,1,1,7,55,89.85000000000001,7.0600000000000005
2011,1,1,8,0,90.26,7.03
2011,1,1,8,5,90.4,6.97
2011,1,1,8,10,90.67,6.94
2011,1,1,8,15,90.84,6.92
2011,1,1,8,20,90.75,6.91
2011,1,1,8,25,90.92,6.9
2011,1,1,8,30,91.04,6.890000000000001
2011,1,1,8,35,90.28,6.8
2011,1,1,8,40,90.25,6.76
2011,1,1,8,45,90.88,6.71
2011,1,1,8,50,91.09,6.73
2011,1,1,8,55,91.33,6.74
2011,1,1,9,0,91.26,6.7
2011,1,1,9,5,90.91,6.69
2011,1,1,9,10,90.51,6.62
2011,1,1,9,15,90.49,6.5600000000000005
2011,1,1,9,20,90.5,6.45
2011,1,1,9,25,90.95,6.37
2011,1,1,9,30,91.23,6.3100000000000005
2011,1,1,9,35,91.21000000000001,6.23
2011,1,1,9,40,90.9,6.13
2011,1,1,9,45,90.67,6
2011,1,1,9,50,91.15,5.89
2011,1,1,9,55,91.93,5.83
2011,1,1,10,0,92.35000000000001,5.8100000000000005
2011,1,1,10,5,92.27,5.74
2011,1,1,10,10,92.51,5.69
2011,1,1,10,15,93.02,5.65
2011,1,1,10,20,94.18,5.64
2011,1,1,10,25,94.84,5.62
2011,1,1,10,30,95.47,5.61
2011,1,1,10,35,96.27,5.63
2011,1,1,10,40,96.92,5.58
2011,1,1,10,45,97.7,5.54
2011,1,1,10,50,98.78,5.53
2011,1,1,10,55,100.13,5.47
2011,1,1,11,0,101.36,5.39
2011,1,1,11,5,102.62,5.3500000000000005
2011,1,1,11,10,103.05,5.32
2011,1,1,11,15,103.14,5.33
2011,1,1,11,20,103.64,5.29
2011,1,1,11,25,104.23,5.26
2011,1,1,11,30,104.92,5.24
2011,1,1,11,35,105.88,5.19
2011,1,1,11,40,106.94,5.11
2011,1,1,11,45,107.75,5.04
2011,1,1,11,50,108.53,4.96
2011,1,1,11,55,108.68,4.88
2011,1,1,12,0,109.29,4.79
2011,1,1,12,5,110.18,4.68
2011,1,1,12,10,110.69,4.59
2011,1,1,12,15,110.17,4.53
2011,1,1,12,20,109.60000000000001,4.5
2011,1,1,12,25,109.37,4.45
2011,1,1,12,30,109.14,4.42
2011,1,1,12,35,109.26,4.41
2011,1,1,12,40,109.91,4.39
2011,1,1,12,45,110.43,4.37
2011,1,1,12,50,110.68,4.33
2011,1,1,12,55,111.11,4.32
2011,1,1,13,0,111.27,4.32
2011,1,1,13,5,111.16,4.3100000000000005
2011,1,1,13,10,111.25,4.3100000000000005
2011,1,1,13,15,111.48,4.3
2011,1,1,13,20,110.65,4.28
2011,1,1,13,25,110.39,4.26
2011,1,1,13,30,110.65,4.21
2011,1,1,13,35,110.2,4.16
2011,1,1,13,40,110.26,4.13
2011,1,1,13,45,109.94,4.13
2011,1,1,13,50,108.78,4.14
2011,1,1,13,55,108.78,4.18
2011,1,1,14,0,108.84,4.25
2011,1,1,14,5,108.87,4.22
2011,1,1,14,10,110.12,4.21
2011,1,1,14,15,110.58,4.25
2011,1,1,14,20,110.51,4.28
2011,1,1,14,25,110.99000000000001,4.3100000000000005
2011,1,1,14,30,111.78,4.32
2011,1,1,14,35,113.15,4.34
2011,1,1,14,40,115.06,4.4
2011,1,1,14,45,116.67,4.44
2011,1,1,14,50,117.41,4.41
2011,1,1,14,55,117.18,4.38
2011,1,1,15,0,116.84,4.3500000000000005
2011,1,1,15,5,116.48,4.25
2011,1,1,15,10,116.66,4.15
2011,1,1,15,15,116.45,4.07
2011,1,1,15,20,116.39,4
2011,1,1,15,25,115.51,3.92
2011,1,1,15,30,114.66,3.84
2011,1,1,15,35,114.07000000000001,3.81
2011,1,1,15,40,113.2,3.75
2011,1,1,15,45,111.88,3.71
