SiteID,1113407,Site Timezone,-6,Data Timezone,-6,Longitude,-98.8681945801,Latitude,27.2788200378
Year,Month,Day,Hour,Minute,wind direction at 100m (deg),wind speed at 100m (m/s)
2011,1,1,0,0,52.120000000000005,13.25
2011,1,1,0,5,52.29,13.200000000000001
2011,1,1,0,10,51.38,13.280000000000001
2011,1,1,0,15,50.54,13.34
2011,1,1,0,20,50.06,13.370000000000001
2011,1,1,0,25,49.300000000000004,13.370000000000001
2011,1,1,0,30,48.45,13.4
2011,1,1,0,35,47.97,13.44
2011,1,1,0,40,47.4,13.46
2011,1,1,0,45,46.76,13.4
2011,1,1,0,50,46.25,13.39
2011,1,1,0,55,45.13,13.47
2011,1,1,1,0,44.53,13.6
2011,1,1,1,5,44.29,13.68
2011,1,1,1,10,43.31,13.71
2011,1,1,1,15,41.980000000000004,13.72
2011,1,1,1,20,41.6,13.77
2011,1,1,1,25,41.45,13.88
2011,1,1,1,30,41.300000000000004,13.9
2011,1,1,1,35,41.660000000000004,13.85
2011,1,1,1,40,41.13,13.8
2011,1,1,1,45,40.42,13.75
2011,1,1,1,50,39.34,13.61
2011,1,1,1,55,37.49,13.52
2011,1,1,2,0,35.81,13.49
2011,1,1,2,5,35.660000000000004,13.450000000000001
2011,1,1,2,10,35.78,13.46
2011,1,1,2,15,36.01,13.65
2011,1,1,2,20,35.71,13.69
2011,1,1,2,25,34.56,13.8
2011,1,1,2,30,34.26,13.77
2011,1,1,2,35,33.03,13.58
2011,1,1,2,40,31.8,13.44
2011,1,1,2,45,32.22,13.38
2011,1,1,2,50,33.14,13.43
2011,1,1,2,55,33.64,13.49
2011,1,1,3,0,33.28,13.57
2011,1,1,3,5,31.7,13.59
2011,1,1,3,10,31.060000000000002,13.65
2011,1,1,3,15,31.990000000000002,13.69
2011,1,1,3,20,31.71,13.72
2011,1,1,3,25,30.22,13.67
2011,1,1,3,30,28.76,13.6
2011,1,1,3,35,28.23,13.6
2011,1,1,3,40,28.39,13.65
2011,1,1,3,45,28.52,13.74
2011,1,1,3,50,29,13.700000000000001
2011,1,1,3,55,29.310000000000002,13.57
2011,1,1,4,0,28.27,13.540000000000001
2011,1,1,4,5,28.62,13.68
2011,1,1,4,10,29.05,13.74
2011,1,1,4,15,28.26,13.82
2011,1,1,4,20,27.85,13.82
2011,1,1,4,25,27.85,13.790000000000001
2011,1,1,4,30,27.28,13.91
2011,1,1,4,35,27.77,14.08
2011,1,1,4,40,28.27,14.18
2011,1,1,4,45,28.240000000000002,14.08
2011,1,1,4,50,27.77,13.99
2011,1,1,4,55,27.62,13.94
2011,1,1,5,0,28.1,13.82
2011,1,1,5,5,28.43,13.72
2011,1,1,5,10,28.72,13.69
2011,1,1,5,15,29.060000000000002,13.77
2011,1,1,5,20,29.060000000000002,13.85
2011,1,1,5,25,28.87,13.870000000000001
2011,1,1,5,30,28.79,13.9
2011,1,1,5,35,28.95,13.96
2011,1,1,5,40,29.03,14.05
2011,1,1,5,45,29.17,14.16
2011,1,1,5,50,28.78,14.25
2011,1,1,5,55,28.64,14.23
2011,1,1,6,0,28.810000000000002,14.21
2011,1,1,6,5,29.09,14.15
2011,1,1,6,10,29.310000000000002,14.08
2011,1,1,6,15,29.78,13.97
2011,1,1,6,20,30.1,13.89
2011,1,1,6,25,29.97,13.83
2011,1,1,6,30,29.69,13.76
2011,1,1,6,35,29.55,13.71
2011,1,1,6,40,29.73,13.72
2011,1,1,6,45,30.27,13.77
2011,1,1,6,50,30.55,13.86
2011,1,1,6,55,30.560000000000002,13.92
2011,1,1,7,0,30.14,13.85
2011,1,1,7,5,29.76,13.74
2011,1,1,7,10,29.79,13.67
2011,1,1,7,15,29.97,13.66
2011,1,1,7,20,29.97,13.700000000000001
2011,1,1,7,25,29.77,13.71
2011,1,1,7,30,29.41,13.68
2011,1,1,7,35,29.330000000000002,13.65
2011,1,1,7,40,29.28,13.63
2011,1,1,7,45,28.990000000000002,13.6
2011,1,1,7,50,29.02,13.5
2011,1,1,7,55,28.82,13.39
2011,1,1,8,0,28.14,13.3
2011,1,1,8,5,27.94,13.280000000000001
2011,1,1,8,10,27.26,13.15
2011,1,1,8,15,26.62,12.93
2011,1,1,8,20,25.18,12.68
2011,1,1,8,25,24.48,12.55
2011,1,1,8,30,24.19,12.38
2011,1,1,8,35,24.310000000000002,12.34
2011,1,1,8,40,24.18,11.91
2011,1,1,8,45,23.89,11.57
2011,1,1,8,50,23.06,11.07
2011,1,1,8,55,22.43,10.63
2011,1,1,9,0,21.91,10.25
2011,1,1,9,5,21.81,10.1
